step;tokens;lr;loss
9300;59660;0.000656;2.287063
9320;59565;0.000655;2.299132
9340;59609;0.000654;2.300137
9360;59638;0.000654;2.295113
9380;59661;0.000653;2.300250
9400;59642;0.000652;2.308873
9420;59634;0.000652;2.271094
9440;59607;0.000651;2.270026
9460;59646;0.000650;2.272776
9480;59619;0.000650;2.280339
9500;59614;0.000649;2.275185
9520;52220;0.000648;2.288442
9540;59647;0.000648;2.284184
9560;59619;0.000647;2.290372
9580;59662;0.000646;2.294728
9600;59605;0.000645;2.295647
9620;59627;0.000645;2.299729
9640;59643;0.000644;2.301854
9660;59676;0.000643;2.266539
9680;59736;0.000643;2.270066
9700;59661;0.000642;2.268683
9720;59698;0.000642;2.275644
9740;59706;0.000641;2.277331
9760;59673;0.000640;2.283654
9780;59738;0.000640;2.287556
9800;59712;0.000639;2.288342
9820;59616;0.000638;2.289006
9840;59640;0.000638;2.290499
9860;59740;0.000637;2.294860
9880;59668;0.000636;2.295798
9900;59746;0.000636;2.255995
9920;59644;0.000635;2.261404
9940;59647;0.000634;2.264828
9960;59695;0.000634;2.278171
9980;59627;0.000633;2.271092
10000;59754;0.000632;2.272827
10020;51700;0.000632;2.281947
10040;59671;0.000631;2.289361
10060;59611;0.000631;2.288563
10080;59622;0.000630;2.288724
10100;59615;0.000629;2.295943
10120;59672;0.000629;2.255452
10140;59690;0.000628;2.257231
10160;59648;0.000627;2.253880
10180;59659;0.000627;2.261949
10200;59658;0.000626;2.260558
10220;59587;0.000626;2.277132
10240;59746;0.000625;2.283131
10260;59659;0.000624;2.273556
10280;59607;0.000624;2.279304
10300;59695;0.000623;2.284812
10320;59701;0.000623;2.282141
10340;59725;0.000622;2.283731
10360;59596;0.000621;2.246069
10380;59629;0.000621;2.252600
10400;59721;0.000620;2.259597
10420;59633;0.000620;2.267256
10440;59738;0.000619;2.260209
10460;59655;0.000618;2.260545
10480;59639;0.000618;2.277866
10500;59649;0.000617;2.275903
10520;54031;0.000617;2.275073
10540;59689;0.000616;2.276721
10560;59729;0.000615;2.282188
10580;59747;0.000615;2.284671
10600;59726;0.000614;2.249168
10620;59724;0.000614;2.247870
10640;59631;0.000613;2.257370
10660;59685;0.000613;2.251655
10680;59706;0.000612;2.264944
10700;59639;0.000611;2.261046
10720;59638;0.000611;2.262338
10740;59715;0.000610;2.271136
10760;59615;0.000610;2.274124
10780;59694;0.000609;2.275238
10800;59719;0.000609;2.278114
10820;59663;0.000608;2.277211
10840;59727;0.000607;2.243376
10860;59709;0.000607;2.247221
10880;59741;0.000606;2.246138
10900;59751;0.000606;2.261316
10920;59774;0.000605;2.256192
10940;59723;0.000605;2.264852
10960;59804;0.000604;2.260991
10980;59729;0.000604;2.265657
11000;59693;0.000603;2.265993
11020;52364;0.000602;2.265341
11040;59715;0.000602;2.268893
11060;59747;0.000601;2.240124
11080;59693;0.000601;2.236254
11100;59698;0.000600;2.244408
11120;59777;0.000600;2.248290
11140;59681;0.000599;2.250941
11160;59774;0.000599;2.251080
11180;59797;0.000598;2.254323
11200;59793;0.000598;2.263333
11220;59808;0.000597;2.259284
11240;59735;0.000597;2.268147
11260;59707;0.000596;2.269112
11280;59772;0.000595;2.269473
11300;59748;0.000595;2.231059
11320;59766;0.000594;2.234510
11340;59753;0.000594;2.240770
11360;59769;0.000593;2.248259
11380;59754;0.000593;2.252701
11400;59756;0.000592;2.243156
11420;59784;0.000592;2.247437
11440;59810;0.000591;2.252720
11460;59801;0.000591;2.260545
11480;59789;0.000590;2.262403
11500;59734;0.000590;2.262528
11520;44669;0.000589;2.268843
11540;59811;0.000589;2.229957
11560;59808;0.000588;2.234183
11580;59813;0.000588;2.233296
11600;59763;0.000587;2.241649
